source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @DeptofDefense: LIVE: #USNSComfort arrives in New York in support of the DOD’s #COVID19 response efforts. (no sound) https://t.co/fajV9T…,3/30/2020 16:56,9774,0,TRUE,1.24467E+18
Twitter for iPhone,RT @TeamTrump: President @realDonaldTrump: “We’re all in this together. I have never seen anything like it.” https://t.co/RMsw1pYfoe,3/30/2020 11:19,10264,0,TRUE,1.24459E+18
Twitter for iPhone,RT @GOPChairwoman: FEMA and @realDonaldTrump’s administration are making sure we have the supplies we need to confront coronavirus. https:/…,3/30/2020 11:19,8207,0,TRUE,1.24459E+18
Twitter for iPhone,Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week trying to add real “junk” into the Bill. Got some bad things having nothing to do with those affected by the Virus included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!,3/30/2020 11:17,43391,190230,FALSE,1.24458E+18
Twitter for iPhone,RT @realDonaldTrump: Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!,3/30/2020 11:12,15478,0,TRUE,1.24458E+18
Twitter for iPhone,Thank you Dr. Hahn &amp; the FDA for your fast approval of this respected Ohio company recommended by Governor @MikeDeWine. Great potential! https://t.co/jAiIUAXwaL,3/30/2020 11:07,11730,50578,FALSE,1.24458E+18
Twitter for iPhone,Will be interviewed on @foxandfriends at 7:55 A.M. USA STRONG!,3/30/2020 5:15,15478,94304,FALSE,1.24449E+18
Twitter for iPhone,RT @SteveFDA: We issued a new authorization this evening to @Battelle for their decontamination system. @US_FDA staff have been working non…,3/30/2020 4:17,6912,0,TRUE,1.24448E+18
Twitter for iPhone,RT @GovMikeDeWine: Thank you @realDonaldTrump and @SteveFDA! @US_FDA has now given Columbus-based @Battelle full approval of the use of ne…,3/30/2020 4:17,9054,0,TRUE,1.24448E+18
Twitter for iPhone,https://t.co/YzhyVR1N6d,3/29/2020 23:43,13744,65472,FALSE,1.24441E+18
Twitter for iPhone,https://t.co/MtEehGY9cp,3/29/2020 23:43,14170,60424,FALSE,1.24441E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/io9HpU9q2o,3/29/2020 21:44,10622,0,TRUE,1.24438E+18
Twitter for iPhone,Will be starting The White House news conference at 5:30 P.M. Eastern.,3/29/2020 20:57,13195,85828,FALSE,1.24437E+18
Twitter for iPhone,So proud of the @USACEHQ @FEMA and the Federal Government for the 2900 bed hospital they built in 4 days (way ahead of schedule) in the Javits Center for NY. We are now moving the teams to join others so they can continue to build more hospitals/beds. Keep up the GREAT WORK!,3/29/2020 20:06,16058,70217,FALSE,1.24436E+18
Twitter for iPhone,Thank you very much to Ken Langone for being a great American and for your wonderful comments on @TeamCavuto.,3/29/2020 20:03,9544,54308,FALSE,1.24435E+18
Twitter for iPhone,I am a great friend and admirer of the Queen &amp; the United Kingdom. It was reported that Harry and Meghan who left the Kingdom would reside permanently in Canada. Now they have left Canada for the U.S. however the U.S. will not pay for their security protection. They must pay!,3/29/2020 19:00,99549,536814,FALSE,1.24434E+18
Twitter for iPhone,Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you! https://t.co/MbEjEcc4pW,3/29/2020 18:10,19688,74822,FALSE,1.24433E+18
Twitter for iPhone,...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M. Grynbaum @NYTimes,3/29/2020 17:49,9191,43787,FALSE,1.24432E+18
